cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials
3.3,0.0,2,249.0,20.0,0,-1,98.0,2,15,-4.9,-9.00085670059e-16,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-1,-1,98.0,1,2,2.88014773623,3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,1,98.0,2,6,4.66017692985,-1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,1,-2,98.0,1,15,-4.9,-9.00085670059e-16,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,13,-3.96418327244,-2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,2,98.0,2,6,4.66017692985,-1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,12,-2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,1,1,98.0,1,17,-3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,1,-1,98.0,1,14,-4.66017692985,-1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,1,98.0,1,5,4.9,3.00028556686e-16,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,0,98.0,2,10,6.00057113373e-16,-4.9,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,2,98.0,1,15,-4.9,-9.00085670059e-16,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,1,-2,98.0,1,4,4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,2,0,98.0,2,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-1,0,98.0,1,8,2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,12,-2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,3,3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,2,98.0,1,3,3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-2,0,98.0,1,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,2,2,98.0,1,2,2.88014773623,3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-2,-2,98.0,2,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,1,-2,98.0,2,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-2,2,98.0,2,3,3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,1,98.0,1,3,3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,-1,98.0,2,19,-1.51418327244,4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-1,0,98.0,1,11,-1.51418327244,-4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,2,98.0,1,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,9,1.51418327244,-4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,-1,98.0,1,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-1,0,98.0,2,8,2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-2,1,98.0,2,7,3.96418327244,-2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,0,98.0,2,16,-4.66017692985,1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-2,0,98.0,2,17,-3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-2,1,98.0,2,18,-2.88014773623,3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-1,2,98.0,1,3,3.96418327244,2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-2,0,98.0,1,12,-2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,2,0,98.0,2,13,-3.96418327244,-2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-1,-1,98.0,2,13,-3.96418327244,-2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,8,2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,1,98.0,2,12,-2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,11,-1.51418327244,-4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-1,1,98.0,2,19,-1.51418327244,4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,0,98.0,1,12,-2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,1,-1,98.0,2,13,-3.96418327244,-2.88014773623,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,0,-2,98.0,1,5,4.9,3.00028556686e-16,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-1,-2,98.0,2,8,2.88014773623,-3.96418327244,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,-1,-2,98.0,2,14,-4.66017692985,-1.51418327244,4.9,1.0,1.0,500.0
3.3,0.0,2,249.0,20.0,-1,-2,98.0,1,19,-1.51418327244,4.66017692985,4.9,1.0,1.0,500.0
3.3,0.0,1,249.0,20.0,0,0,98.0,2,10,6.00057113373e-16,-4.9,4.9,1.0,1.0,500.0
